"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"
"CHEMBL188"	"WIN-552122"	"None"	"426.52"	"0"	"4.60"	"WIN55,212-2"	"Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1[C@H](CN1CCOCC1)CO3"	"Ki"	"'='"	"28.8"	"nM"	"7.54"	""	""	"UO_0000065"	"17.68"	"0.32"	"2.94"	"17.26"	"1"	"CHEMBL3998732"	"Displacement of [3H]CP55940 from human CB1 receptor expressed in HEK293 EBNA cell membranes after 90 mins by liquid scintillation and luminescence counting method"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3997787"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2017"	"CHEMBL3307715"	""
"CHEMBL3353838"	""	"None"	"502.54"	"1"	"4.29"	"64"	"N#Cc1ccccc1CSc1nnc2c3ccccc3n(S(=O)(=O)c3ccccc3[N+](=O)[O-])c2n1"	"EC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL3375408"	"Agonist activity at human CB1R expressed in CHO cells assessed as reduction in forskolin-induced cAMP accumulation by beta-galactosidase based complementation immunoassay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3352243"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2015"	"CHEMBL3308072"	""
"CHEMBL3775199"	""	"None"	"421.55"	"0"	"4.12"	"26"	"CCCCCn1cc(C(=O)NC2CCCCC2)c(=O)n2nc(-c3ccc(C)cc3)nc12"	"Ki"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3778962"	"Displacement of [3H]CP-55,940 from human CB1 receptor expressed in CHO cell membranes after 90 mins by scintillation counting analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3774386"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2016"	"CHEMBL3308072"	""
"CHEMBL3353814"	""	"None"	"360.36"	"0"	"4.82"	"22"	"FC(F)(F)c1ccccc1CSc1nnc2c(n1)[nH]c1ccccc12"	"Ki"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL3375410"	"Displacement of [3H]CP55940 from human CB1R expressed in CHO cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3352243"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2015"	"CHEMBL3308072"	""
"CHEMBL431184"	""	"None"	"449.55"	"0"	"2.80"	"4"	"COC(=O)[C@H](Cc1ccccc1)NC(=O)c1c(C)n(CCN2CCOCC2)c2ccccc12"	"Ki"	""	""	"nM"	""	""	"Not Determined"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL658835"	"Binding affinity against human CB2 receptor expressed in CHO cells by using CP-55940 as Radioactive tracer; NT = not tested"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1134897"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2002"	"CHEMBL3308072"	""
"CHEMBL3774762"	""	"None"	"416.53"	"0"	"1.98"	"33"	"CCCCCn1cc(C(=O)NC2CCCCC2)c(=O)n2nc(N3CCOCC3)nc12"	"Ki"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3778962"	"Displacement of [3H]CP-55,940 from human CB1 receptor expressed in CHO cell membranes after 90 mins by scintillation counting analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3774386"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2016"	"CHEMBL3308072"	""
"CHEMBL138772"	""	"None"	"468.68"	"1"	"6.36"	"50"	"CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)CCCCC(=O)NN3CCCCC3)cc1OC2(C)C"	"Ki"	"'='"	"4.5"	"nM"	"8.35"	""	""	"UO_0000065"	"17.81"	"0.34"	"1.99"	"13.51"	"0"	"CHEMBL925155"	"Binding affinity to CB1 receptor"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1140633"	"1"	"Scientific Literature"	"J Med Chem"	"2007"	"None"	""
"CHEMBL188"	"WIN-552122"	"None"	"426.52"	"0"	"4.60"	"2, WIN55212-2"	"Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1[C@H](CN1CCOCC1)CO3"	"Ki"	"'='"	"46.0"	"nM"	"7.34"	""	""	"UO_0000065"	"17.20"	"0.31"	"2.74"	"16.79"	"1"	"CHEMBL2032793"	"Displacement of [3H]CP55940 from human CB1 receptor expressed in HEK293 cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2029249"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2012"	"CHEMBL3307715"	""
"CHEMBL2029729"	""	"None"	"425.57"	"0"	"3.31"	"(R)-21"	"CNC(=O)CCCN(C)C(=O)c1ccc2c(c1)c1c(n2C)CC[C@@H](C2CCOCC2)C1"	"EC50"	"'='"	"51.4"	"nM"	"7.29"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2032795"	"Agonist activity at human CB1 receptor expressed in HEK293 cells assessed as [35S]GTPgamma binding"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2029249"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2012"	"CHEMBL3307715"	""
"CHEMBL523749"	""	"None"	"459.43"	"1"	"6.52"	"16"	"CCCCCN(CCCCC)C(=O)c1ccccc1C(=O)Nc1ccc(Br)cc1"	"Ki"	"'>'"	"50.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1022319"	"Displacement of [3H]CP-55940 from human recombinant CB1 receptor"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139386"	"1"	"Scientific Literature"	"J Med Chem"	"2009"	"None"	""
