ligand_standard_inchi_key,param,unit,value,smiles,labels
AAAPQZDYNWUVQA-UHFFFAOYSA-N,Ki,nM,0.56,CCOCC(=O)NC1CCCOc2c1nn(-c1ccccc1Cl)c2-c1ccc(Cl)cc1,1
AABDRJHZBVPFLI-KHPPLWFESA-N,Ki,nM,500.0,CCCCCCCCC=CCCCCCCCC(=O)NCc1ccc(OC)cc1,1
AAIQXNZXWNXHSX-UHFFFAOYSA-N,IC50,nM,110.0,CC(=O)Nc1cc(=O)n(C)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12,1
AAKPJTRCQRGFJX-UHFFFAOYSA-N,EC50,nM,1000.0,O=C(Nc1sc2c(c1C(=O)N1CCCCC1)CCOC2)c1c(F)cccc1C(F)(F)F,1
AARCRFRELZYFFF-RXFWQSSRSA-N,IC50,nM,136.0,CC(NC(C)(C)C(=O)Nc1cc(-c2ccccc2)on1)C(Cc1ccc(Cl)cc1)c1cccc(C#N)c1,1
AARQDCQBCMFBPF-PMACEKPBSA-N,Ki,nM,97.0,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CC=C(C=O)CC21,1
AASWZKUHCPCLMU-CYVLTUHYSA-N,Ki,nM,0.9,CSC(=S)N1CC2(CCCCC2)COC1=Nc1cc(C(C)(C)C)no1,1
AAUVSTPYMIQTNV-UHFFFAOYSA-N,Kd,nM,25.12,Cl.Cl.O=C(NN1CCCCC1)c1nc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2Cl)n1,1
AAWYILVBJLFYNG-UHFFFAOYSA-N,EC50,nM,7.943,CCCCCN1N=C(C(=O)NC2C3CC4CC(C3)CC2C4)CC1c1ccccc1,1
AAXPOBDAMCGNNF-JKGBFCRXSA-N,IC50,nM,8.3,NC(=O)C(N=C(NS(=O)(=O)c1ccc(Cl)cc1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1)C1CCC1,1
AAZPJOPTMNOCRC-UHFFFAOYSA-N,IC50,nM,10.0,CC(C)Oc1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)cc1C#N,1
ABBJGBXBPXOWOG-UHFFFAOYSA-N,EC50,nM,1280.0,CCOc1cc(S(=O)(=O)c2ccc3c(c2)nc(C(C)(C)C)n3CC2CCOCC2)ccn1,1
ABBQSZMLKDIOOJ-UHFFFAOYSA-N,IC50,nM,0.11,NC(=O)Cc1c(C(=O)N2CCC(O)(c3ccccc3)CC2)nn(-c2ccccc2Cl)c1-c1ccc(Cl)cc1,1
ABHGEUHKZCLZGJ-UHFFFAOYSA-N,Ki,nM,1500.0,CCn1cc(C(=O)NC(C)C23CC4CC(CC(C4)C2)C3)c(=O)cc1-c1ccccc1,1
