GLASS#	UniProt	Ligand standard InChI Key	Param	Min	Max	Unit	Reference (PMID or other citations)
17	P21554	AAAPQZDYNWUVQA-UHFFFAOYSA-N	Ki	0.56	0.56	nM	24900484
17	P21554	AAAPQZDYNWUVQA-UHFFFAOYSA-N	Ki	1.2	1.2	nM	24900484
25	P21554	AABDRJHZBVPFLI-KHPPLWFESA-N	Ki	500.0	500.0	nM	16213718
25	P21554	AABDRJHZBVPFLI-KHPPLWFESA-N	Ki	600.0	600.0	nM	16213718
234	P21554	AAIQXNZXWNXHSX-UHFFFAOYSA-N	IC50	110.0	110.0	nM	16263284
234	P21554	AAIQXNZXWNXHSX-UHFFFAOYSA-N	IC50	112.2	112.2	nM	19406638
277	P21554	AAKPJTRCQRGFJX-UHFFFAOYSA-N	EC50	1000.0	1000.0	nM	23147076
277	P21554	AAKPJTRCQRGFJX-UHFFFAOYSA-N	Efficacy	94.0	94.0	%	23147076
457	P21554	AARCRFRELZYFFF-RXFWQSSRSA-N	IC50	136.0	136.0	nM	19632830
464	P21554	AARQDCQBCMFBPF-PMACEKPBSA-N	Ki	97.0	97.0	nM	,Bioorg. Med. Chem. Lett., (1996) 6:2:189
467	P21554	AARQDCQBCMFBPF-WOJBJXKFSA-N	Ki	2.2	2.2	nM	
467	P21554	AARQDCQBCMFBPF-WOJBJXKFSA-N	Ki	2.24	2.24	nM	Bioorg. Med. Chem. Lett., (1996) 6:2:189
506	P21554	AASWZKUHCPCLMU-CYVLTUHYSA-N	Ki	0.9	0.9	nM	18977140
557	P21554	AAUVSTPYMIQTNV-UHFFFAOYSA-N	Kd	25.12	25.12	nM	15771428
557	P21554	AAUVSTPYMIQTNV-UHFFFAOYSA-N	Ki	382.0	382.0	nM	15771428
587	P21554	AAWYILVBJLFYNG-UHFFFAOYSA-N	EC50	7.943	7.943	nM	20688519
587	P21554	AAWYILVBJLFYNG-UHFFFAOYSA-N	Kd	7.943	7.943	nM	20688519
587	P21554	AAWYILVBJLFYNG-UHFFFAOYSA-N	Ki	9.2	9.2	nM	20688519
605	P21554	AAXPOBDAMCGNNF-JKGBFCRXSA-N	IC50	8.3	8.3	nM	22959249
665	P21554	AAZPJOPTMNOCRC-UHFFFAOYSA-N	IC50	10.0	10.0	nM	17270441
722	P21554	ABBJGBXBPXOWOG-UHFFFAOYSA-N	EC50	1280.0	1280.0	nM	22130134
724	P21554	ABBQSZMLKDIOOJ-UHFFFAOYSA-N	IC50	0.11	0.11	nM	20015647
724	P21554	ABBQSZMLKDIOOJ-UHFFFAOYSA-N	IC50	0.26	0.26	nM	20015647
724	P21554	ABBQSZMLKDIOOJ-UHFFFAOYSA-N	IC50	2.9	2.9	nM	20015647
859	P21554	ABHGEUHKZCLZGJ-UHFFFAOYSA-N	Ki	0.0	3000.0	nM	20979417
