smiles,param,value,unit,labels,source
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,Ki,,,0,ChEMBL
CC(C)NNC(=O)c1ccncc1,Ki,,,0,ChEMBL
CCCCOc1ccc(OCCCN2CCOCC2)cc1,Ki,,,0,ChEMBL
COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,Ki,,,0,ChEMBL
O=C(O)Cc1ccc(-c2ccccc2)cc1,Ki,,,0,ChEMBL
Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,Ki,,,0,ChEMBL
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,Ki,,,0,ChEMBL
O=NN(CCCl)C(=O)NC1CCCCC1,Ki,,,0,ChEMBL
COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,Ki,,,0,ChEMBL
OCCO,Ki,,,0,ChEMBL
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,Ki,,,0,ChEMBL
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,Ki,,,0,ChEMBL
Cc1onc(O)c1CC(N)C(=O)O,Ki,,,0,ChEMBL
O=C(c1ccccc1Cl)N1CCC(Cc2ccccc2)CC1,Ki,,,0,ChEMBL
Cc1cc(=O)n(-c2ccccc2)n1C,Ki,,,0,ChEMBL
CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)O)O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4O[C@@H]4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C,Ki,,,0,ChEMBL
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,Ki,,,0,ChEMBL
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,Ki,,,0,ChEMBL
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,Ki,,,0,ChEMBL
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,Ki,,,0,ChEMBL
NCCCC(O)(P(=O)(O)O)P(=O)(O)O,Ki,,,0,ChEMBL
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,Ki,,,0,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,Ki,,,0,ChEMBL
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],Ki,,,0,ChEMBL
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,Ki,,,0,ChEMBL
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,Ki,,,0,ChEMBL
NC(=O)N1c2ccccc2C=Cc2ccccc21,Ki,,,0,ChEMBL
CC(C)Cn1cnc2c(N)nc3ccccc3c21,Ki,,,0,ChEMBL
N[C@H](CSC(=S)NCc1ccccc1)C(=O)O,Ki,,,0,ChEMBL
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,Ki,,,0,ChEMBL
Clc1cccc(Cl)c1NC1=NCCN1,Ki,,,0,ChEMBL
O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1,Ki,,,0,ChEMBL
O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,Ki,,,0,ChEMBL
CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,Ki,,,0,ChEMBL
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,Ki,,,0,ChEMBL
CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,Ki,,,0,ChEMBL
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,Ki,,,0,ChEMBL
COC(=O)Nc1nc2cc([S+]([O-])c3ccccc3)ccc2[nH]1,Ki,,,0,ChEMBL
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,Ki,,,0,ChEMBL
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,Ki,,,0,ChEMBL
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,Ki,,,0,ChEMBL
NC(=O)N1c2ccccc2CCc2ccccc21,Ki,,,0,ChEMBL
CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,Ki,,,0,ChEMBL
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,Ki,,,0,ChEMBL
CCOC(=O)n1ccn(C)c1=S,Ki,,,0,ChEMBL
COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,Ki,,,0,ChEMBL
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,Ki,,,0,ChEMBL
CC(C)(C(=O)c1cccnc1)c1cccnc1,Ki,,,0,ChEMBL
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,Ki,,,0,ChEMBL
CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,Ki,,,0,ChEMBL
CN(C)CCC=C1c2ccccc2CCc2ccccc21,Ki,,,0,ChEMBL
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,Ki,,,0,ChEMBL
NNCCc1ccccc1,Ki,,,0,ChEMBL
O=P1(NCCCl)OCCCN1CCCl,Ki,,,0,ChEMBL
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,Ki,,,0,ChEMBL
COc1ccccc1OCC(O)COC(N)=O,Ki,,,0,ChEMBL
CC(N)C12CC3CC(CC(C3)C1)C2,Ki,,,0,ChEMBL
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,Ki,,,0,ChEMBL
CC(C)NCC(O)COc1cccc2ccccc12,Ki,,,0,ChEMBL
CC(O)CO,Ki,,,0,ChEMBL
CC(=O)[C@H]1[C@H](C#N)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,Ki,,,0,ChEMBL
Cn1c(=O)c2c(ncn2C)n(C)c1=O,Ki,,,0,ChEMBL
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,Ki,,,0,ChEMBL
C[C@](N)(Cc1ccc(O)cc1)C(=O)O,Ki,,,0,ChEMBL
Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],Ki,,,0,ChEMBL
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,Ki,,,0,ChEMBL
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,Ki,,,0,ChEMBL
Oc1cccc2cccnc12,Ki,,,0,ChEMBL
ClC(Cl)Cl,Ki,,,0,ChEMBL
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,Ki,,,0,ChEMBL
COc1ccccc1C(=O)N1CCC(Cc2ccccc2)CC1,Ki,,,0,ChEMBL
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,Ki,,,0,ChEMBL
CC(=O)OCC(COC(C)=O)OC(C)=O,Ki,,,0,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,Ki,,,0,ChEMBL
CC(C)Oc1ccc(S(=O)(=O)N2CCOCC2)cc1NC(=O)c1cc2ccccc2s1,EC50,32000.0,nM,0,ChEMBL
COc1ccc(-c2[nH]nc(C)c2-c2ccc(Cl)cc2)c(O)c1,EC50,32000.0,nM,0,ChEMBL
COc1ccc(C2(C(=O)N3CCC(n4nc(-c5ccccc5)oc4=O)CC3)CC2)cc1,EC50,32000.0,nM,0,ChEMBL
CCN1C(=O)C(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,EC50,32000.0,nM,0,ChEMBL
Cc1ccc2c(c1)C(c1ccc(O)cc1)(c1ccc(O)cc1)C(=O)N2C,EC50,32000.0,nM,0,ChEMBL
Cc1nc(N2CCN(C(=O)c3ccco3)CC2)c2c3c(sc2n1)CCCC3,EC50,32000.0,nM,0,ChEMBL
Cc1cc2cc3c(cc2n2c(SCC(=O)Nc4nc(-c5ccccc5)cs4)nnc12)OCO3,EC50,32000.0,nM,0,ChEMBL
COc1ccc(S(=O)(=O)Nc2ccc(C)cc2)cc1N(C)S(=O)(=O)c1ccc(Cl)cc1,EC50,32000.0,nM,0,ChEMBL
Cc1ccc(-c2nnc(C)c3nn(-c4ccc(C)cc4)cc23)cc1,EC50,32000.0,nM,0,ChEMBL
Cc1n[nH]c(-c2ccc(O)cc2O)c1-c1ccc(Cl)cc1,EC50,32000.0,nM,0,ChEMBL
O=C(N1CCC(n2nc(-c3ccccc3)oc2=O)CC1)C1(c2ccccc2)CCCC1,EC50,32000.0,nM,0,ChEMBL
Cc1nc(N2CCN(C(=O)C3CCCO3)CC2)c2c3c(sc2n1)CCCC3,EC50,32000.0,nM,0,ChEMBL
COc1ccc(S(=O)(=O)Nc2ccc(F)cc2)cc1N(C)S(=O)(=O)c1ccc(Cl)cc1,EC50,32000.0,nM,0,ChEMBL
CCC(C)NS(=O)(=O)c1ccc(NC(=O)C(Sc2ccccc2)c2ccccc2)cc1,EC50,32000.0,nM,0,ChEMBL
Cc1cc(C)nc(NS(=O)(=O)c2ccc(NC(=O)c3cc(-c4ccccc4)nc4ccccc34)cc2)n1,EC50,32000.0,nM,0,ChEMBL
COc1ccc2c(c1)cc(C)c1nnc(SCC(=O)Nc3nc(C)cs3)n12,EC50,32000.0,nM,0,ChEMBL
COC(=O)C1=C(N)c2c(F)cccc2C1(C#N)c1ccccc1,EC50,32000.0,nM,0,ChEMBL
