zinc_id,smiles
ZINC000014495450,O=C(Cc1ccccc1Cl)Nc1ccc(Cl)cc1Cl
ZINC000005752782,O=C(Nc1cc(Cl)cc(Cl)c1)[C@@H](Cl)c1ccccc1
ZINC000023634021,Cc1cc(NCCc2cccc(F)c2)nc2cc(Cl)ccc12
ZINC000028219991,CCCc1cc(Cl)c2oc(Cc3ccccc3)c(C)c2c1O
ZINC000016903949,CC(C)c1ccccc1O[C@@H](C)c1nc2cc(Cl)ccc2[nH]1
ZINC000033327196,CCc1ccc2[nH]c(COc3cc(C)c(Cl)c(C)c3)nc2c1
ZINC000021658800,Cc1ccc(C(C)C)c(OCc2nc3cc(Cl)ccc3[nH]2)c1
ZINC000003998586,CCn1c2ccccc2c2cc(CNc3ccc(C)cc3)ccc21
ZINC000004007735,CCn1c2ccccc2c2cc(CNc3ccccc3C)ccc21
ZINC000000424408,S=c1[nH]c(-c2ccc(Cl)cc2)cn1CCc1ccccc1
ZINC000004746254,CCc1sc(Nc2ccccc2)nc1-c1ccc(Cl)cc1
ZINC000036635979,Cc1ccccc1Cc1cnc(Nc2ccc(Cl)cc2)s1
ZINC000000073624,CCc1ccccc1Nc1nc(-c2ccc(Cl)cc2)cs1
ZINC000044008233,Fc1ccc(F)c(CN/N=C/c2c(Cl)cccc2Cl)c1
ZINC000005003337,CC(/C=C/c1ccccc1)=N/Nc1ccccc1Br
ZINC000000089431,O=C(Nc1cccc2ccccc12)c1ccc(C(F)(F)F)cc1
ZINC000005445052,CC1CCC(=NNc2ccc(C(F)(F)F)cc2[N+](=O)[O-])CC1
ZINC000004258597,FC(F)(F)c1ccccc1-c1cncnc1Nc1ccccc1
ZINC000000343950,FC(F)(F)c1cccc(Nc2ccc(-c3ccccc3)nn2)c1
ZINC000040856645,FC(F)(F)c1ccccc1Nc1nccc(-c2ccccc2)n1
ZINC000005065198,O=[N+]([O-])c1ccccc1Nc1nc(-c2ccc(F)cc2)cs1
ZINC000005063311,O=[N+]([O-])c1ccc(Nc2nc(-c3ccc(F)cc3)cs2)cc1
ZINC000000612646,O=[N+]([O-])c1cccc(Nc2nc(-c3ccc(F)cc3)cs2)c1
ZINC000040764115,Cc1ccc(COc2ccccc2-c2nc3ccccc3[nH]2)cc1
ZINC000006377315,CC(C)c1ccc(/C=C(\C#N)C(=O)c2c[nH]c3ccccc23)cc1
ZINC000034199864,Cc1ccc(OCc2ccccc2)c2[nH]c(-c3ccccc3)nc12
ZINC000013140867,CCc1ccc(/C=C(\C#N)C(=O)c2c(C)[nH]c3ccccc23)cc1
ZINC000000274097,CCOc1ccc(Nc2nc3ccccc3c3ccccc23)cc1
ZINC000031532095,O=C(Nc1ccccc1N1CCc2ccccc21)c1ccccc1
ZINC000000532395,Cc1[nH]c2ccccc2c1C(=O)COc1cccc2ccccc12
ZINC000012865358,C[C@@H](Oc1ccc2c(c1)[nH]c1ccccc12)C(=O)c1ccccc1
ZINC000000617700,COc1ccc2c([N+](=O)[O-])c(Sc3ccc(C)cc3)[nH]c2c1
ZINC000020352077,CC(C)[C@H]1CC[C@H](C)C[C@@H]1Oc1ccc(C(F)(F)F)cc1N
ZINC000027577242,c1ccc(-c2ccc(NC[C@H]3OCCc4ccccc43)cc2)cc1
ZINC000005268113,Cc1ccc(CC(=O)Nc2ccc3c4c(cccc24)CC3)c(C)c1
ZINC000024017117,O=C(Cc1ccc2ccccc2c1)N[C@@H]1CCCc2ccccc21
ZINC000047217619,CC[C@@H](C)[C@H](NC(=O)c1ccc([N+](=O)[O-])cc1Cl)c1nc2ccccc2[nH]1
ZINC000047217807,CC[C@@H](C)[C@H](NC(=O)c1ccc(Cl)cc1[N+](=O)[O-])c1nc2ccccc2[nH]1
ZINC000016967059,CC(C)C[C@H](NC(=O)c1ccc([N+](=O)[O-])cc1Cl)c1nc2ccccc2[nH]1
ZINC000044073666,CC(C)c1cccc(C(C)C)c1NC(=S)NC1CCC(C(F)(F)F)CC1
ZINC000052633494,CC(C)C[C@H](NC(=O)c1ccc(Cl)cc1[N+](=O)[O-])c1nc2ccccc2[nH]1
ZINC000006798756,Cc1ccc(Sc2c(C(=O)NCCc3ccccc3)[nH]c3ccccc23)cc1
ZINC000006234562,Cc1ccccc1C(=O)NCCSc1c(-c2ccccc2)[nH]c2ccccc12
ZINC000002721100,Cc1[nH]c2ccccc2c1SCCNC(=O)c1ccc(-c2ccccc2)cc1
ZINC000003388520,CSc1ccccc1C(=O)NC[C@H](c1ccccc1)c1c[nH]c2ccccc12
ZINC000006798820,Cc1ccc2c(Sc3ccc(Cl)cc3)c(C(=O)NCCC(C)C)[nH]c2c1
ZINC000001179290,O=C(COc1ccc(Cl)cc1Cl)Nc1ccc(Nc2ccccc2)cc1
ZINC000004868213,CC(=O)Nc1ccc(Nc2ccc([S@@](=O)C(F)(F)F)cc2[N+](=O)[O-])cc1
ZINC000013135419,C[C@H](Nc1ccc(C(F)(F)F)cc1[N+](=O)[O-])C(=O)NC1CCCCCCC1
ZINC000008687890,FC(F)(F)c1cccc(N/C(S)=N\C(c2ccccc2)c2ccccc2)c1
ZINC000052553969,C[C@H](NC(=O)CCc1c(-c2ccc(F)cc2)[nH]c2ccccc12)c1cccnc1
ZINC000045968894,Cc1ccc(CNC(=O)CCc2c(-c3ccc(F)cc3)[nH]c3ccccc23)cn1
ZINC000052661557,C[C@@H](N[C@H](C)c1cccc2ccccc12)C(=O)Nc1ccccc1C(F)(F)F
ZINC000022072245,O=C(NCCc1ccccc1)c1cccnc1Nc1ccc(Cl)c(Cl)c1
ZINC000047870859,O=C(/C=C\c1ccc(Cl)c(C(F)(F)F)c1)NNc1ccccc1[N+](=O)[O-]
ZINC000000971184,Cc1ccc(C)c(N[C@@H](NC(=O)Cc2ccccc2)C(Cl)(Cl)Cl)c1
ZINC000033154790,O=C(/C=C\c1ccccc1)N[C@H](Nc1ccccc1F)C(Cl)(Cl)Cl
ZINC000015085939,Cc1ccc([N+](=O)[O-])cc1NCC(=O)Nc1ccc(Cl)cc1C(F)(F)F
ZINC000040159969,C[C@@H](Nc1ccc(C(F)(F)F)cc1[N+](=O)[O-])C(=O)Nc1ccc(Cl)cc1
ZINC000028907765,C[C@@H](Nc1ccc(Cl)cc1)C(=O)Nc1ccc([N+](=O)[O-])cc1C(F)(F)F
ZINC000026709415,CNC(=O)c1ccc(CNc2cc(Cl)c(C(F)(F)F)cc2[N+](=O)[O-])cc1
ZINC000004663110,O=[N+]([O-])c1ccc(NCCNc2ccc([N+](=O)[O-])c3cccnc23)c(Cl)c1
ZINC000005128591,O=[N+]([O-])c1cccc(Cl)c1NCCNc1ccc([N+](=O)[O-])c2cccnc12
ZINC000004910875,Cc1ccccc1Nc1cc(C(=O)NCCC2=CCCCC2)c2ccccc2n1
ZINC000002417416,O=C(NC(c1ccccc1)c1ccccc1)[C@](O)(c1ccccc1)C1CCCC1
ZINC000004624095,CCOC(=O)/C=C(\Nc1cc2cc(-c3ccccc3)[nH]c2cc1C)C(F)(F)F
