gpcrdb_id,species,p-value,unit,pKi,assay_type,assay_des,source,molwt,logp,smiles,doi
180507,Human,9.5,pKi,9.5,Binding,BindingaffinitytoCB1receptorBindingaffinitytoCB1receptor,ChEMBL,432,7.6,CCCCCCC1(c2cc(O)c3c(c2)OC(C)(C)[C@@H]2CC=C(C)C[C@@H]32)SCCS1,10.1016/j.bmc.2008.06.019
92746,Human,8.5,pKi,8.5,Binding,BindingaffinitytoCB1receptorBindingaffinitytoCB1receptor,ChEMBL,514,3,C[C@H](NS(C)(=O)=O)c1ccc(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c2ccccn2)cc1,10.1016/j.bmcl.2007.04.028
92788,Human,9.0,pKi,9.0,Binding,BindingaffinitytoCB1receptorBindingaffinitytoCB1receptor,ChEMBL,565,4.3,Cc1ccc(S(=O)(=O)c2ccc([C@H](C)NS(=O)(=O)C(F)(F)F)cc2)c(S(=O)(=O)c2ccccc2F)c1,10.1016/j.bmcl.2007.04.028
181768,Human,5.8,pKi,5.8,Binding,Displacementof[3H]CP-55940fromhumanrecombinantCB1receptorexpressedinHEKcellsDisplacementof[3H]CP-55940fromhumanrecombinantCB1receptorexpressedinHEKcells,ChEMBL,363,5.2,O=C(Cc1ccc(Cl)cc1)NCCC(c1ccccc1)c1ccccc1,10.1016/j.bmc.2008.06.001
95497,Human,8.0,pKi,8.0,Binding,Displacementof[3H]CP-55940fromhumanCB1RexpressedinHEK293cellsDisplacementof[3H]CP-55940fromhumanCB1RexpressedinHEK293cells,ChEMBL,403,5.1,O=C(c1cc2c(cc1F)OC(c1ccccc1)(c1ccccc1)O2)N1CCCCC1,10.1021/jm701487t
158732,Human,7.8,pKi,7.8,Binding,NoneNone,PDSPKiDatabase,405,4,O=C(c1cc2c(cc1F)OC(c1ccccc1)(c1ccccc1)O2)N1CCOCC1,None
144570,Human,6.5,pKi,6.5,Binding,BindingaffinitytoCB1receptorBindingaffinitytoCB1receptor,ChEMBL,479,3,CCCS(=O)(=O)c1cc(Cl)ccc1S(=O)(=O)c1ccc([C@H](C)NS(C)(=O)=O)cc1,10.1016/j.bmcl.2007.04.028
372,Human,9.0,pKi,9.0,Binding,AntagonistactivityathumanCB1receptorAntagonistactivityathumanCB1receptor,ChEMBL,555,4.2,N#CCCC#Cc1ccc(cc1)c1c(C)c(nn1c1ccc(cc1Cl)Cl)C(=O)NN1CCS(=O)(=O)CC1,10.1016/j.bmcl.2013.06.066
92787,Human,8.1,pKi,8.1,Binding,BindingaffinitytoCB1receptorBindingaffinitytoCB1receptor,ChEMBL,519,3.9,C[C@H](NS(C)(=O)=O)c1ccc(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)C2CCCCC2)cc1,10.1016/j.bmcl.2007.04.028
3747,Human,5.6,pKi,5.6,Binding,UnclassifiedUnclassified,GuidetoPharmacology,413,6.1,CCCCCNC1=C(CCCCC)C(=O)C(=O)C(=C1O)[C@@H]1C=C(C)CC[C@H]1C(=C)C,30033591
92789,Human,8.9,pKi,8.9,Binding,BindingaffinitytoCB1receptorBindingaffinitytoCB1receptor,ChEMBL,591,4.9,C[C@H](NS(=O)(=O)C(F)(F)F)c1ccc(S(=O)(=O)c2ccc(C3CC3)cc2S(=O)(=O)c2ccccc2F)cc1,10.1016/j.bmcl.2007.04.028
20184,Human,7.1,pKi,7.1,Binding,Displacementof[3H]-CP55940fromhumanCB1receptorDisplacementof[3H]-CP55940fromhumanCB1receptor,ChEMBL,384,4.4,O=C(c1cccc2ccccc12)c1cn(CCN2CCOCC2)c2ccccc12,10.1021/acs.jmedchem.6b00516
95282,Human,7.6,pKi,7.6,Binding,Displacementof[3H]CP-55940fromhumanCB1RexpressedinHEK293cellsDisplacementof[3H]CP-55940fromhumanCB1RexpressedinHEK293cells,ChEMBL,385,5,O=C(c1ccc2c(c1)OC(c1ccccc1)(c1ccccc1)O2)N1CCCCC1,10.1021/jm701487t
2805,Human,9.2,pKi,9.2,Binding,Displacementof[3H]SR141716AfromhumanCB1receptorexpressedinHEK293cellsDisplacementof[3H]SR141716AfromhumanCB1receptorexpressedinHEK293cells,ChEMBL,509,4.2,CCNC1(CCN(CC1)c1ncnc2c1nc(n2c1ccc(cc1)Cl)c1ccccc1Cl)C(=O)N,10.1021/jm8012932
146457,Human,6.7,pKi,6.7,Binding,BindingaffinitytoCB1receptorBindingaffinitytoCB1receptor,ChEMBL,564,4.2,C[C@H](NS(C)(=O)=O)c1ccc(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c2cccc3cccnc23)cc1,10.1016/j.bmcl.2007.04.028
92878,Human,8.4,pKi,8.4,Binding,BindingaffinitytoCB1receptorBindingaffinitytoCB1receptor,ChEMBL,568,3.9,C[C@H](NS(=O)(=O)C(F)(F)F)c1ccc(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c2ccccn2)cc1,10.1016/j.bmcl.2007.04.028
92877,Human,8.2,pKi,8.2,Binding,BindingaffinitytoCB1receptorBindingaffinitytoCB1receptor,ChEMBL,603,4.8,C[C@H](NS(=O)(=O)C(F)(F)F)c1ccc(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c2c(F)cccc2F)cc1,10.1016/j.bmcl.2007.04.028
101611,Human,7.7,pKi,7.7,Binding,Displacementof[3H]CP55940fromhumanCB1receptorincellfreesystemDisplacementof[3H]CP55940fromhumanCB1receptorincellfreesystem,ChEMBL,382,7.4,CCCCCCC1CCCc2c1cc1c(c2O)[C@@H]2CC(C)=CC[C@H]2C(C)(C)O1,10.1016/j.ejmech.2010.11.034
14789,Human,8.9,pKi,8.9,Binding,Displacementof[3H]-CP55940fromhumancannabinoidCB1receptorexpressedinSf9insectcellsafter70minsbyscintillationcountingDisplacementof[3H]-CP55940fromhumancannabinoidCB1receptorexpressedinSf9insectcellsafter70minsbyscintillationcounting,ChEMBL,383,4,COc1cccc2c(C(=O)N3CCN(C)[C@@H](C)C3)cn(CC3CCCCC3)c12,10.1039/C0MD00022A
140892,Human,6.0,pKi,6.0,Binding,Displacementof[3H]CP55940fromhumanCB1receptorincellfreesystemDisplacementof[3H]CP55940fromhumanCB1receptorincellfreesystem,ChEMBL,384,1.7,Cc1ccc2c(=O)c(C(=O)NC3CCCC3)cn(CCN3CCOCC3)c2n1,10.1016/j.ejmech.2010.11.034
47786,Human,8.3,pKi,8.3,Binding,EvaluatedforbindingaffinitytowardshumanCannabinoidreceptor1EvaluatedforbindingaffinitytowardshumanCannabinoidreceptor1,ChEMBL,488,6.2,Cc1c(C(=O)NN2CC3CCCC3C2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,10.1016/j.bmcl.2003.12.068
95262,Human,7.9,pKi,7.9,Binding,Displacementof[3H]CP-55940fromhumanCB1RexpressedinHEK293cellsDisplacementof[3H]CP-55940fromhumanCB1RexpressedinHEK293cells,ChEMBL,513,6,O=S(=O)(c1ccc2c(c1)OC(c1ccccc1)(c1ccccc1)O2)N1CC=C(c2ccc(F)cc2)CC1,10.1021/jm701487t
92742,Human,5.8,pKi,5.8,Binding,BindingaffinitytohumanCB1receptorBindingaffinitytohumanCB1receptor,ChEMBL,585,4.6,C[C@H](NS(=O)(=O)C(F)(F)F)c1ccc(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c2ccccc2F)cc1,10.1016/j.bmcl.2009.11.084
179211,Human,6.7,pKi,6.7,Binding,"Displacementof[3H]-CP-55,940fromrecombinanthumanCB1RexpressedinHEK293cellmembranesafter90minsDisplacementof[3H]-CP-55,940fromrecombinanthumanCB1RexpressedinHEK293cellmembranesafter90mins",ChEMBL,316,4,CCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C(=O)O)=C[C@@H]21,10.1021/acs.jnatprod.9b00831
85274,Human,7.5,pKi,7.5,Binding,Displacementof[3H]CP-559440fromhumanCB1receptorexpressedinHEK293cellsDisplacementof[3H]CP-559440fromhumanCB1receptorexpressedinHEK293cells,ChEMBL,415,4.5,O=C(N[C@H]1CCC[C@@H]1O)c1cn(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)n1,10.1016/j.bmcl.2007.03.011
192457,Human,7.9,pKi,7.9,Binding,NoneNone,PDSPKiDatabase,442,5.5,CCc1c(C(=O)NN2CCCCC2)nc(-c2ccccc2Cl)n1-c1ccc(Cl)cc1,None
84731,Human,7.3,pKi,7.3,Binding,BindingaffinitytohumanCB1receptorBindingaffinitytohumanCB1receptor,ChEMBL,386,4.6,Cc1ccc(-c2ncc(C(=O)NN3CCCCC3)nc2-c2ccc(C)cc2)cc1,10.1016/j.bmcl.2007.04.087
130121,Human,7.5,pKi,7.5,Binding,InvitrodisplacementofCP-55940bindingtohumanCB1receptorexpressedinCHOcellsInvitrodisplacementofCP-55940bindingtohumanCB1receptorexpressedinCHOcells,ChEMBL,447,6.5,Cc1c(C(=O)NC2CCCC2)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(Cl)cc1,10.1021/jm040843r
110899,Human,6.1,pKi,6.1,Binding,Displacementof[3H]-CP55940fromhumanCB1receptorafter90minsbyliquidscintillationspectrophotometeranalysisDisplacementof[3H]-CP55940fromhumanCB1receptorafter90minsbyliquidscintillationspectrophotometeranalysis,ChEMBL,407,7,CCCCCCc1nc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2Cl)n1,10.1016/j.bmc.2013.01.055
85404,Human,8.2,pKi,8.2,Binding,Displacementof[3H]CP-559440fromhumanCB1receptorexpressedinHEK293cellsDisplacementof[3H]CP-559440fromhumanCB1receptorexpressedinHEK293cells,ChEMBL,471,5.8,CCCc1c(C(=O)N[C@H]2CCCC[C@@H]2O)nc(-c2ccccc2Cl)n1-c1ccc(Cl)cc1,10.1016/j.bmcl.2007.03.011
85472,Human,8.4,pKi,8.4,Binding,Displacementof[3H]CP-559440fromhumanCB1receptorexpressedinHEK293cellsDisplacementof[3H]CP-559440fromhumanCB1receptorexpressedinHEK293cells,ChEMBL,501,5.6,CCc1c(C(=O)N[C@H]2CCCC[C@@H]2O)nc(-c2ccccc2Cl)n1-c1ccc(Br)cc1,10.1016/j.bmcl.2007.03.011
362,Human,5.9,pKi,5.9,Binding,Displacementof[3H]CP-55940fromhumanrecombinantCB1receptorexpressedinCHOcellsDisplacementof[3H]CP-55940fromhumanrecombinantCB1receptorexpressedinCHOcells,ChEMBL,503,4.9,CN1CCCCC1Cn1cc(c2c1cccc2)C(=O)c1cc(ccc1I)N(=O)=O,10.1021/jm901214q
177867,Human,9.5,pKi,9.5,Binding,NoneNone,PDSPKiDatabase,515,6.3,CC(NC(=O)C(C)(C)Oc1ccc(C(F)(F)F)cn1)C(Cc1ccc(Cl)cc1)c1cccc(C#N)c1,None
